sample_id,brand,material_type,image_url,split
MS-0001,皇家,包柱画面,https://static.51dh.com.cn/meisu/8d/d0/f025a0f48b08ffd8b3ed43057b0b73df47b9.jpg,train
MS-0002,皇家,包柱画面,https://static.51dh.com.cn/meisu/8b/9a/2cf6dbca20b7be106b2d2c29d38cc8e76081.jpg,train
MS-0003,皇家,包柱画面,https://static.51dh.com.cn/meisu/a3/9c/01b713ad72dbdb010cd614d9a77e69dc2595.jpg,test
MS-0004,皇家,包柱画面,https://static.51dh.com.cn/meisu/55/4c/648200feaef43e34357cfb2ea466967b9f8b.jpg,train
MS-0005,皇家,包柱画面,https://static.51dh.com.cn/meisu/d8/90/b4971889cd8eca6cfab45118a97feb1d7813.jpg,train
MS-0006,皇家,包柱画面,https://static.51dh.com.cn/meisu/12/d6/9c8f3e7e103c65f409ab5f97440692990407.jpg,test
MS-0007,皇家,包柱画面,https://static.51dh.com.cn/meisu/31/5a/20036000f9ac6d1a5ca11fd63e02499430a5.jpg,train
MS-0008,皇家,包柱画面,https://static.51dh.com.cn/meisu/bf/a3/63563c5f5d40e7d2c8b0e0c0869ee00430a2.jpg,train
MS-0009,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/7c/2d/6c6c39cfb1a180cba8fe60086ab36ea0824b.jpg,train
MS-0010,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/53/dc/b37507d5b387091e7b5fafdebebfdc80b562.jpg,train
MS-0011,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/70/69/c18cf08aab74250d5626968166fb2cca6743.jpg,train
MS-0012,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/fb/d8/ffae260eef48e3cf88b9631c4501346e8c39.jpg,train
MS-0013,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f8/af/09a1041df635f40936544661249279c7e4dd.jpg,test
MS-0014,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/1b/49/9eab81dd33cac8951492ec89e804edd61e87.jpg,train
MS-0015,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/38/5a/2e3bcc3127d117d04a7935d5426d48732594.jpg,test
MS-0016,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/b9/0d/290b52e6958a32258f444a0e5a5693172980.jpg,train
MS-0017,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/71/5f/8890e0f55850d67b9379fc3e3c185c196390.jpg,test
MS-0018,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/3e/e8/0c0eb5aa7d86aed0b10c11ef76f8628f851e.jpg,train
MS-0019,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/63/8b/64afff0566c819f5e2753ff459256d2c5ecd.jpg,train
MS-0020,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/1a/2b/0c55ebe122e93a985154a3e5c55d7bec3b0f.jpg,train
MS-0021,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/7f/a8/c6dc892291cec131fb164ee6bab82b84d100.jpg,train
MS-0022,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/38/ea/1e7ecfa70e72b6691d1c9346093de81849b7.jpg,train
