sample_id,brand,material_type,image_url,split
SUP-0001,皇家,吊旗,https://static.51dh.com.cn/meisu/f7/f6/3c4759b42b7f83807425d26dbb0784cce47d.jpg,train
SUP-0002,皇家,吊旗,https://static.51dh.com.cn/meisu/30/3f/c43ca2863a1ef02995407c2df455a3832d56.jpg,train
SUP-0003,皇家,吊旗,https://static.51dh.com.cn/meisu/d1/87/e3db025aa38b68798ebb689e9006be5ef5c1.jpg,train
SUP-0004,皇家,吊旗,https://static.51dh.com.cn/meisu/96/f4/c7f860e3e1ba5139f7abe3151e1cfd88f11c.jpg,train
SUP-0005,皇家,吊旗,https://static.51dh.com.cn/meisu/b6/00/0a98057a05fc41fecfaa601ed5ccabf39435.jpg,train
SUP-0006,皇家,吊旗,https://static.51dh.com.cn/meisu/ea/b1/5d0c5c948fac6c6bd8fafd9db4e51a2184be.jpg,train
SUP-0007,皇家,吊旗,https://static.51dh.com.cn/meisu/5d/b2/b5b98ee22860b8a9e4ba8ef1f5b6bac7176f.jpg,train
SUP-0008,皇家,吊旗,https://static.51dh.com.cn/meisu/92/46/14a37d86f1dee3aa641446ecd6e97f832071.jpg,train
SUP-0009,皇家,吊旗,https://static.51dh.com.cn/meisu/79/41/9e7ec79a53c97e9b801b1c80dbfd3c1f9cd9.jpg,train
SUP-0010,皇家,吊旗,https://static.51dh.com.cn/meisu/35/8e/cfa4b1d1f80753eef3ebfe3fe0244435f36a.jpg,train
SUP-0011,皇家,吊旗,https://static.51dh.com.cn/meisu/dc/ae/9a923d8a6497936a2c2681ed310aaf3c42ba.jpg,train
SUP-0012,皇家,吊旗,https://static.51dh.com.cn/meisu/72/20/a3b77606cc3643812190a3f4e09b5a8669d0.jpg,train
SUP-0013,皇家,吊旗,https://static.51dh.com.cn/meisu/5c/d9/41fdf4392c96b0dfa0724b9c6af9486bf584.jpg,train
SUP-0014,皇家,吊旗,https://static.51dh.com.cn/meisu/9a/37/0e47f3172d06f26dfb6738af859298791e4f.jpg,train
SUP-0015,皇家,吊旗,https://static.51dh.com.cn/meisu/06/1e/75b3889ee3885567330a8343adcf19011650.jpg,train
SUP-0016,皇家,吊旗,https://static.51dh.com.cn/meisu/ba/4d/2345042881470b60e351d43c37434cb4b90b.jpg,train
SUP-0017,皇家,吊旗,https://static.51dh.com.cn/meisu/cb/9e/091d1680b43113f5029d726fdb0cafa6f0a1.jpg,train
SUP-0018,皇家,吊旗,https://static.51dh.com.cn/meisu/45/03/93e463f49b93f769bd459320aef7e8a6e7e1.jpg,train
SUP-0019,皇家,吊旗,https://static.51dh.com.cn/meisu/19/67/287e92d3900fb0189224d09928a5a9b18d85.jpg,train
SUP-0020,皇家,吊旗,https://static.51dh.com.cn/meisu/df/1c/133bbf6ae75902f62c93171692565115cc4d.jpg,train
SUP-0021,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/6b/50/63f8536fa2283da8ea7b089e8e147686b39f.jpg,train
SUP-0022,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/68/ea/6077dc73136ab770f176ec4b53993f3197f7.jpg,train
SUP-0023,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/6e/64/cb938973c24111e326ccde38f3c1a7a94251.jpg,train
SUP-0024,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/a6/e7/a00bff9f63d9fe7e09bad1484d83849ad17b.jpg,train
SUP-0025,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/76/cf/3b3268744b6a8feb808d8c28b174e27156d0.jpg,train
SUP-0026,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/97/86/bead87135e71649d2cc470418d6e04cb75a7.jpg,train
SUP-0027,尊悦,包柱画面,https://static.51dh.com.cn/meisu/f9/b9/f7a6887b4ffd0cb3b9655fd1cd80dd8b3607.jpg,train
SUP-0028,尊悦,包柱画面,https://static.51dh.com.cn/meisu/91/59/7a68447bc36f3b0e57ba47184a6bc2f89a00.jpg,train
SUP-0029,尊悦,包柱画面,https://static.51dh.com.cn/meisu/1d/96/d9d3d4ffd6acde2b9657657a1279583cb459.jpg,train
SUP-0030,尊悦,包柱画面,https://static.51dh.com.cn/meisu/a7/89/2a8dc9a4a54e1e4c2cc99c335650776335fc.jpg,train
SUP-0031,尊悦,吊旗,https://static.51dh.com.cn/meisu/c7/d9/14966bf4c30bf7d44ea7cdc175feeff850e2.jpg,train
SUP-0032,尊悦,吊旗,https://static.51dh.com.cn/meisu/94/01/ed76ec4c25d5310ba6589e5cf923a3101c76.jpg,train
SUP-0033,尊悦,吊旗,https://static.51dh.com.cn/meisu/2d/71/924a8b00ee463ce3b97b4b28ebf83e3ccbd2.jpg,train
SUP-0034,尊悦,吊旗,https://static.51dh.com.cn/meisu/12/0a/77fa7e5ccae6429afd0d369a5109213e9b21.jpg,train
SUP-0035,尊悦,吊旗,https://static.51dh.com.cn/meisu/03/0c/5108b644611dfca43359fec3a34c5d8e0d39.jpg,train
SUP-0036,尊悦,吊旗,https://static.51dh.com.cn/meisu/6a/cb/cc52d9caed9c17ac5a5ff96661eaf46a2985.jpg,train
SUP-0037,尊悦,吊旗,https://static.51dh.com.cn/meisu/f6/d5/d617383cd1a60146348b4185f46cffe9827f.jpg,train
SUP-0038,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/da/88/8dd64586336d3ad1edec4bea1eb06643e1f7.jpg,train
SUP-0039,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/67/30/7b375292526267f7aca15f1f6edd0e0cf2a3.jpg,train
SUP-0040,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/27/d3/46597f8a9710eb3c49d2bf06cf2af633d0cc.jpg,train
